Doctor_ID,Doctor_Name,Department,Experience_Years,Hospital_Branch,Consultation_Fee
DOC0456,Heather Lambert,Oncology,2,Hyderabad,2640
DOC0457,Diane Bullock,Oncology,16,Delhi,2296
DOC0458,Hannah Carroll,Neurology,27,Hyderabad,541
DOC0459,Philip Bush,Dermatology,5,Mumbai,840
DOC0460,Elizabeth Smith,Pediatrics,24,Bangalore,1420
DOC0461,Elizabeth Ritter,General Medicine,10,Hyderabad,822
DOC0462,Melody Raymond,ENT,10,Pune,512
DOC0463,Chloe Burns,General Medicine,18,Pune,2498
DOC0464,Kurt Yang,Neurology,4,Pune,1148
DOC0465,Chris Barrett,General Medicine,20,Hyderabad,1795
DOC0466,Jennifer Miller,Dermatology,8,Bangalore,1327
DOC0467,Kimberly Brewer,Dermatology,12,Delhi,1526
DOC0468,Kendra Harris,Neurology,14,Mumbai,2104
DOC0469,Anthony Flores,ENT,6,Bangalore,544
DOC0470,Gina Walker,Dermatology,6,Hyderabad,2517
DOC0471,Marcus Alvarez,Cardiology,3,Mumbai,1084
DOC0472,Caitlin Black,Neurology,12,Pune,2236
DOC0473,Justin Maxwell,ENT,2,Delhi,813
DOC0474,Jordan Roberts,ENT,4,Pune,955
DOC0475,Nicole Perry,Cardiology,9,Bangalore,2999
DOC0476,Jeffrey Lee,Orthopedics,23,Delhi,2451
DOC0477,Danny Palmer,Neurology,30,Hyderabad,2991
DOC0478,Charles Thornton,Cardiology,5,Mumbai,822
DOC0479,Dr. Angela Mills DDS,Oncology,4,Hyderabad,2886
DOC0480,Michael Barnes,Dermatology,2,Bangalore,643
DOC0481,William Stone,Oncology,30,Bangalore,2076
DOC0482,Nicholas Ball,Neurology,28,Delhi,2440
DOC0483,Alyssa Johnson,Oncology,10,Delhi,2476
DOC0484,Michelle Martin,General Medicine,30,Delhi,1642
DOC0485,Sara Price,Dermatology,27,Bangalore,1991
DOC0486,Eric Porter,General Medicine,11,Delhi,1250
DOC0487,Katherine Rodriguez,Oncology,28,Mumbai,1893
DOC0488,Steven Rodriguez,Pediatrics,19,Delhi,2199
DOC0489,Christina Thompson MD,General Medicine,24,Hyderabad,856
DOC0490,Shawn Stevenson,Pediatrics,21,Pune,2163
DOC0491,Dana Sullivan,Oncology,1,Mumbai,2064
DOC0492,Billy Olson,Oncology,8,Hyderabad,2187
DOC0493,Dr. Matthew Prince,General Medicine,17,Pune,1863
DOC0494,Rebecca Ritter,Cardiology,2,Pune,1706
DOC0495,Michelle Benton,General Medicine,7,Bangalore,1234
DOC0496,Amanda Jacobs,Pediatrics,28,Delhi,763
DOC0497,Audrey Elliott,Neurology,14,Bangalore,1446
DOC0498,Charles Richardson,Dermatology,9,Pune,580
DOC0499,Dalton King,Dermatology,21,Pune,2249
DOC0500,Joshua Hill,ENT,16,Hyderabad,905
